POS.,CLUBE,UF,PONTOS
1,Flamengo,RJ,17054
2,Palmeiras,SP,14584
3,Atletico-MG,MG,14572
4,Grêmio,RS,14336
5,Athletico-PR,PR,13512
6,Santos,SP,12816
7,São Paulo,SP,12604
8,Internacional,RS,12108
9,Fluminense,RJ,11100
10,Corinthians,SP,11064
11,Fortaleza,CE,10841
12,Bahia,BA,10261
13,Ceará,CE,9537
14,Cruzeiro,MG,9034
15,América-MG,MG,8860
16,Atlético-GO,GO,8548
17,Chapecoense,SC,8468
18,Botafogo,RJ,8376
19,Vasco,RJ,8206
20,Red Bull Bragantino,SP,7789
21,Sport,PE,6896
22,Cuiabá,MT,6789
23,Goiás,GO,6628
24,Juventude,RS,6385
25,Vitória,BA,5913
26,Coritiba,PR,5858
27,Avaí,SC,5719
28,CRB,AL,5565
29,Ponte Preta,SP,5200
30,CSA,AL,5088
31,Vila Nova,GO,4577
32,Sampaio Corrêa,MA,4271
33,Paraná,PR,4066
34,Operário,PR,3914
35,Guarani,SP,3865
36,Criciúma,SC,3858
37,Brasil de Pelotas,RS,3835
38,Náutico,PE,3730
39,Londrina,PR,3673
40,Paysandu,PA,3498
41,Figueirense,SC,3493
42,Remo,PA,3244
43,Oeste,SP,3098
44,Confiança,SE,3007
45,Brusque,SC,2861
46,Santa Cruz,PE,2840
47,ABC,RN,2711
48,Botafogo-SP,SP,2698
49,Tombense,MG,2391
50,Ypiranga,RS,2348
51,Botafogo-PB,PB,2227
52,Ferroviário,CE,2205
53,Volta Redonda,RJ,2193
54,São Bento,SP,2028
55,Manaus,AM,1981
56,São José,RS,1973
57,Boa Esporte,MG,1957
58,Ituano,SP,1834
59,Juazeirense,BA,1815
60,Luverdense,MT,1728
61,América-RN,RN,1558
62,Joinville,SC,1473
63,Brasiliense,DF,1427
64,Novorizontino,SP,1398
65,Jacuipense,BA,1386
66,AE Altos,PI,1382
67,Treze,PB,1374
68,Acreano,AC,1360
69,Imperatriz,MA,1340
70,Mirassol,SP,1207
71,Aparecidense,GO,1203
72,Campinense,PB,1191
73,Boavista,RJ,1183
74,Moto Club,MA,1180
75,Cianorte,PR,1174
76,Floresta EC,CE,1138
77,Caxias,RS,1089
78,Sao Raimundo AM,RR,1068
79,Ferroviária,SP,1039
80,Caldense,MG,947
81,Salgueiro,PE,941
82,Globo,RN,933
83,Uniao Rondonopolis,MT,928
84,4 de Julho Esporte,PI,912
85,Itabaiana,SE,911
86,Galvez,AC,882
87,Fast Clube,AM,847
88,Palmas,TO,842
89,Central,PE,810
90,Sergipe,SE,754
91,ASA,AL,752
92,Cascavel,PR,727
93,Bahia de Feira,BA,712
