,clube_mandante,clube_visitante,placar_mandante,placar_visitante,posse_de_bola_mandante,posse_de_bola_visitante,tentativas_de_gol_mandante,tentativas_de_gol_visitante,finalizacoes_mandante,finalizacoes_visitante,chutes_fora_mandante,chutes_fora_visitante,chutes_bloqueados_mandante,chutes_bloqueados_visitante,faltas_cobradas_mandante,faltas_cobradas_visitante,escanteios_mandante,escanteios_visitante,impedimentos_mandante,impedimentos_visitante,laterais_cobrados_mandante,laterais_cobrados_visitante,defesas_de_goleiro_mandante,defesas_de_goleiro_visitante,faltas_mandante,faltas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,total_de_passes_mandante,total_de_passes_visitante,passes_completados_mandante,passes_completados_visitante,desarmes_mandante,desarmes_visitante,ataques_mandante,ataques_visitante,ataques_perigosos_mandante,ataques_perigosos_visitante,urls
0,Botafogo,Athletico-PR,2,0,53%,47%,17,16,6,4,10,5,1,7,18,16,2,11,0,3,19,18,4,4,16,15,0,2,0,0,491,409,408,329,16,13,99,117,40,62,https://www.flashscore.com.br/jogo/WQPUEzvA/#/resumo-de-jogo/estatisticas-de-jogo/0
1,América-MG,Palmeiras,0,1,48%,52%,15,17,3,5,8,9,4,3,8,17,7,7,1,2,15,16,4,3,16,6,5,3,0,0,399,419,311,340,10,19,101,108,61,63,https://www.flashscore.com.br/jogo/fqVitGXp/#/resumo-de-jogo/estatisticas-de-jogo/0
2,Cuiabá,Atlético-MG,1,1,32%,68%,16,7,8,4,6,1,2,2,11,8,4,2,1,1,17,26,3,7,7,10,1,1,0,0,297,671,229,604,15,9,78,145,35,73,https://www.flashscore.com.br/jogo/pU73bFgT/#/resumo-de-jogo/estatisticas-de-jogo/0
3,Corinthians,Coritiba,3,1,61%,39%,19,8,6,4,4,4,9,0,15,16,9,2,1,1,19,15,3,3,16,15,1,3,0,0,585,370,523,305,9,8,128,75,61,34,https://www.flashscore.com.br/jogo/2oCr3wub/#/resumo-de-jogo/estatisticas-de-jogo/0
4,Santos,Botafogo,2,0,35%,65%,16,23,7,10,7,6,2,7,20,17,4,4,2,2,17,20,10,5,15,18,2,2,0,0,297,553,225,482,15,19,90,140,30,55,https://www.flashscore.com.br/jogo/txBn2cf4/#/resumo-de-jogo/estatisticas-de-jogo/0
5,Flamengo,Juventude,4,0,63%,37%,27,8,12,2,5,5,10,1,13,17,5,4,2,1,10,16,2,8,14,13,3,3,0,1,550,316,503,261,19,18,147,41,96,14,https://www.flashscore.com.br/jogo/dl9z5aAo/#/resumo-de-jogo/estatisticas-de-jogo/0
6,Internacional,São Paulo,3,3,34%,66%,15,8,7,4,7,4,1,0,13,14,4,3,3,4,14,23,1,4,11,10,4,5,0,0,292,584,242,519,13,10,78,125,23,41,https://www.flashscore.com.br/jogo/bD5i1H9A/#/resumo-de-jogo/estatisticas-de-jogo/0
7,Athletico-PR,Atlético-GO,4,1,42%,58%,15,15,9,5,4,9,2,1,9,17,3,2,2,1,14,25,4,5,15,8,3,0,0,0,383,528,310,449,17,7,113,116,44,21,https://www.flashscore.com.br/jogo/jBpWgZ1p/#/resumo-de-jogo/estatisticas-de-jogo/0
8,Goiás,Fluminense,2,3,27%,73%,15,17,5,10,7,4,3,3,10,21,2,3,2,0,17,24,7,3,19,9,2,0,0,0,208,603,155,545,26,14,65,130,58,75,https://www.flashscore.com.br/jogo/WQ3aaevN/#/resumo-de-jogo/estatisticas-de-jogo/0
9,Red Bull Bragantino,Fortaleza,2,1,55%,45%,14,10,7,3,5,4,2,3,19,15,4,9,1,1,35,24,2,5,14,18,4,3,0,0,404,320,317,224,16,17,119,80,41,32,https://www.flashscore.com.br/jogo/8OCv4JPi/#/resumo-de-jogo/estatisticas-de-jogo/0
10,Palmeiras,Cuiabá,1,0,61%,39%,16,6,8,1,5,3,3,2,13,19,11,4,3,1,20,23,1,7,17,12,3,1,0,0,494,314,419,232,16,16,118,80,55,39,https://www.flashscore.com.br/jogo/tECa3nZt/#/resumo-de-jogo/estatisticas-de-jogo/0
11,América-MG,Red Bull Bragantino,0,3,55%,45%,25,16,4,6,14,7,7,3,19,10,10,5,2,1,34,15,3,4,8,18,3,1,0,0,491,406,414,333,13,30,117,90,81,39,https://www.flashscore.com.br/jogo/bu6gpPYI/#/resumo-de-jogo/estatisticas-de-jogo/0
